type,cnt
Q4961598,15
Q7966607,15
Q6820741,15
Q7967318,15
Q1384277,15
Q11079230,15
Q7571176,15
Q25534840,15
Q5527173,15
Q15146717,15
Q1570153,15
Q7995739,15
Q22696383,15
Q22696274,14
Q104776655,14
Q24567296,14
Q24176345,14
Q14865157,14
Q251741,14
Q22695898,14
Q5637384,14
Q160598,14
Q26913948,14
Q177253,14
Q1433891,14
Q651658,14
Q25546358,14
Q22342211,14
Q60676589,14
Q7331066,14
Q48970589,14
Q7048891,14
Q22343980,14
Q184940,14
Q42486,14
Q19845322,14
Q7305510,14
Q220695,14
Q106690408,14
Q318702,14
Q22342927,14
Q22669601,13
Q5666613,13
Q22669632,13
Q5913321,13
Q2139567,13
Q22276119,13
Q22283539,13
Q4899805,13
Q22341433,13
Q514989,13
Q18575573,13
Q911924,13
Q15273379,13
Q3075355,13
Q557728,13
Q5763312,13
Q24718627,13
Q43325366,13
Q7989235,13
Q7918434,13
Q21106447,13
Q22341275,13
Q22669381,13
Q47069668,13
Q7650353,13
Q22276316,13
Q22669531,13
Q9158,13
Q22341330,13
Q2902809,13
Q23007305,13
Q7078911,13
Q80895,13
Q977367,13
Q21100839,13
Q11931634,13
Q5325494,13
Q28333430,13
Q328376,13
Q51159758,13
Q22342957,13
Q7989796,13
Q118322,13
Q21540023,13
Q6501319,13
Q1365703,13
Q15334263,12
Q22276298,12
Q918448,12
Q2938159,12
Q52348036,12
Q17005145,12
Q24182685,12
Q17276616,12
Q5124698,12
Q3587589,12
Q11487748,12
Q1067715,12
Q24529773,12
Q2243695,12
Q22704041,12
Q379605,12
Q106690375,12
Q16361747,12
Q818545,12
Q4281830,12
Q3518201,12
Q22696370,12
Q106978510,12
Q81859300,12
Q22276186,12
Q3586838,12
Q3305194,12
Q22330752,12
Q17056702,12
Q1760704,12
Q22669525,12
Q5782934,12
Q10271606,12
Q22266214,12
Q22669513,12
Q24176296,12
Q22442768,12
Q25467527,12
Q24179666,12
Q15788,12
Q25369324,12
Q7061379,12
Q65962109,12
Q8774346,12
Q11918772,12
Q22696400,11
Q22442774,11
Q1144784,11
Q582956,11
Q22342918,11
Q30572165,11
Q22343924,11
Q715695,11
Q14872727,11
Q293849,11
Q14920473,11
Q24568879,11
Q22669528,11
Q1156016,11
Q22669521,11
Q25546854,11
Q1093833,11
Q1897017,11
Q22669611,11
Q109622963,11
Q572664,11
Q459555,11
Q22269349,11
Q106171319,11
Q1342425,11
Q42681239,11
Q22669625,11
Q24178042,11
Q3070242,11
Q5827551,11
Q22696395,11
Q37942728,11
Q10271596,11
Q25448932,11
Q72850604,11
Q1196663,11
Q10567262,11
Q6541336,11
Q23058942,11
Q25343621,11
Q947859,11
Q22333190,10
Q22669603,10
Q98741945,10
Q32680449,10
Q106484373,10
Q15931405,10
Q2393012,10
Q4128600,10
Q5312035,10
Q24183035,10
Q5115542,10
Q22669582,10
Q848960,10
Q22341320,10
Q11453,10
Q11499052,10
Q13012970,10
Q5601809,10
Q22333025,10
Q22342312,10
Q17014215,10
Q25369215,10
Q6348103,10
Q3587380,10
Q7579940,10
Q6415764,10
Q61952495,10
Q22330909,10
Q41708957,10
Q2908804,10
Q22330839,10
Q22276155,10
Q22160120,10
Q85547214,10
Q22269333,10
Q5894489,10
Q29054285,10
Q6980735,10
Q22341315,10
Q7544035,10
Q1725370,10
Q5827491,10
Q837999,10
Q23688115,10
Q5827419,10
Q25367878,9
Q745316,9
Q692412,9
Q2447975,9
Q1963768,9
Q19801853,9
Q7370451,9
Q1781367,9
Q22669480,9
Q791974,9
Q22669594,9
Q22276208,9
Q65085460,9
Q88869722,9
Q452440,9
Q24712693,9
Q71989553,9
Q22276008,9
Q97368680,9
Q14957210,9
Q97595211,9
Q574456,9
Q109733629,9
Q54882043,9
Q845477,9
Q379738,9
Q74570489,9
Q104705174,9
Q97487177,9
Q22669621,9
Q916412,9
Q110550201,9
Q488526,8
Q811891,8
Q106691645,8
Q2839017,8
Q22160593,8
Q28406203,8
Q22696414,8
Q22276226,8
Q94606984,8
Q27406,8
Q3586559,8
Q22669591,8
Q464122,8
Q1458216,8
Q7307171,8
Q5465517,8
Q25455090,8
Q22669526,8
Q25343642,8
Q22669547,8
Q94466676,8
Q5400895,8
Q3119160,8
Q24452127,8
Q896903,8
Q2551228,8
Q94449970,8
Q93557741,8
Q31836586,8
Q915196,8
Q185943,8
Q1198478,8
Q119094,8
Q12778811,8
Q40692185,8
Q25438796,8
Q8960966,8
Q23498202,8
Q1135604,8
Q5420038,8
Q383187,8
Q97358680,8
Q28455120,8
Q20102321,8
Q4533514,8
Q1747184,8
Q109936365,8
Q22333685,8
Q10932402,8
Q187510,8
Q3107744,8
Q467938,8
Q122119,8
Q14860824,8
Q22669618,8
Q22333339,8
Q41222493,8
Q5295526,8
Q22342947,8
Q14626453,8
Q20986437,8
Q326259,8
Q207842,8
Q39049892,8
Q11481825,8
Q1339582,7
Q886568,7
Q12406392,7
Q42378719,7
Q45386330,7
Q61037771,7
Q14905129,7
Q204933,7
Q94609398,7
Q94456180,7
Q5523292,7
Q94553400,7
Q4493539,7
Q94683284,7
Q94609435,7
Q671832,7
Q6784016,7
Q663296,7
Q94184448,7
Q2986234,7
Q93455943,7
Q1058791,7
Q94684262,7
Q93559266,7
Q420474,7
Q92282907,7
Q93462300,7
Q94330804,7
Q545861,7
Q94607074,7
Q197961,7
Q7281191,7
Q1668049,7
Q92313829,7
Q22283516,7
Q24180038,7
Q1522772,7
Q910817,7
Q94340605,7
Q93154810,7
Q94602741,7
Q94572597,7
Q93455815,7
Q22342178,7
Q94566760,7
Q92282909,7
Q94328268,7
Q211382,7
Q94566909,7
Q93462304,7
Q17301632,7
Q8191556,7
Q3394581,7
Q47762931,7
Q107238003,7
Q25468000,7
Q94334991,7
Q93155836,7
Q2564783,7
Q94572595,7
Q6501095,7
Q61728467,7
Q103470847,7
Q94602898,7
Q42915628,7
Q599170,7
Q41118032,7
Q94553391,7
Q93558099,7
Q94184446,7
Q5420046,7
Q94456115,7
Q94343868,7
Q22290356,7
Q94343874,7
Q142824,7
Q92312582,7
Q93559180,7
Q998426,7
Q1392762,7
Q110805611,7
Q98745410,7
Q2442510,7
Q16975945,7
Q3774758,6
Q93559482,6
Q94679999,6
Q1363768,6
Q94694462,6
Q22328415,6
Q10271630,6
Q9637047,6
Q94694487,6
Q22280876,6
Q2308614,6
Q192270,6
Q3551559,6
Q5157579,6
Q46999986,6
Q94694933,6
Q22704045,6
Q668984,6
Q18591647,6
Q7631769,6
Q1949797,6
Q1303061,6
Q7245793,6
Q21213179,6
Q10712098,6
Q107357080,6
Q93251355,6
Q1243001,6
Q94679811,6
Q10397683,6
Q17437818,6
Q94674325,6
Q24715377,6
Q63993400,6
Q2977046,6
Q21100317,6
Q94674229,6
Q105832563,6
Q110164298,6
Q94440695,6
Q3631225,6
Q218455,6
Q60527676,6
Q94635295,6
Q91908604,6
Q621076,6
Q18009934,6
Q22342180,6
Q52045923,6
Q1753200,6
Q24451601,6
Q14872721,6
Q3354777,6
Q93558289,6
Q94683604,6
Q75476195,6
Q94694792,6
Q4378075,6
Q24176839,6
Q25531251,6
Q22669427,6
Q94614602,6
Q820355,6
Q796919,6
Q94684504,6
Q24719004,6
Q93306595,6
Q22276354,6
Q1734134,6
Q1147660,6
Q26208318,6
Q5354870,6
Q922853,6
Q30344536,6
Q106125986,6
Q7157511,6
Q25369733,6
Q203607,6
Q864113,6
Q33103999,6
Q14863067,6
Q196431,6
Q22280897,6
Q17450153,6
Q134211,6
Q256905,6
Q94694551,6
Q3919228,6
Q94694569,6
Q94466778,6
Q45311841,6
Q8452,6
Q5978114,6
Q94635434,6
Q4128699,6
Q6857862,6
Q10660882,6
Q104676100,6
Q58815974,6
Q106638042,6
Q104212151,6
Q5954576,6
Q100938499,5
Q94450051,5
Q152263,5
Q9026907,5
Q28545697,5
Q5690823,5
Q14864709,5
Q24384357,5
Q20730691,5
Q17422,5
Q11202642,5
Q94440678,5
Q103495,5
Q13424445,5
Q34581,5
Q2203769,5
Q21972891,5
Q45311815,5
Q34168,5
Q20826063,5
Q3020761,5
Q21095109,5
Q63247926,5
Q41707512,5
Q93559484,5
Q13573188,5
Q19803127,5
Q25530424,5
Q65295049,5
Q32361,5
Q11422542,5
Q21175615,5
Q6149896,5
Q50295027,5
Q516739,5
Q863941,5
Q196092,5
Q8228287,5
Q105151488,5
Q17455048,5
Q2530926,5
Q4176199,5
Q64778850,5
Q14276938,5
Q339452,5
Q7241485,5
Q18693936,5
Q31157300,5
Q102600679,5
Q106129117,5
Q624140,5
Q21761006,5
Q1136456,5
Q99748589,5
Q24183876,5
Q159505,5
Q14914926,5
Q184753,5
Q61949333,5
Q44906,5
Q52253007,5
Q3118325,5
Q19354904,5
Q15047343,5
Q187668,5
Q1550182,5
Q94614685,5
Q60740186,5
Q3423767,5
Q24718538,5
Q25531065,5
Q22703975,5
Q2371837,5
Q22669552,5
Q485644,5
Q1020052,5
Q129172,5
Q27030844,5
Q93636179,5
Q11642516,5
Q68557071,5
Q30337878,5
Q849944,5
Q22004151,5
Q25495,5
Q2324975,5
Q657438,5
Q22119581,5
Q1572731,5
Q25532583,5
Q4698967,5
Q1123131,5
Q358576,5
Q20085071,5
Q93306847,5
Q56188162,5
Q10277595,5
Q2694643,5
Q693004,5
Q11598585,5
Q1425942,5
Q93558491,5
Q26260699,4
Q50870824,4
Q178803,4
Q5378545,4
Q18156020,4
Q17053528,4
Q24715411,4
Q11499675,4
Q21142718,4
Q100136951,4
Q39086217,4
Q529938,4
Q207703,4
Q699417,4
Q37807168,4
Q21213456,4
Q109682730,4
Q24045394,4
Q48767773,4
Q20199086,4
Q18603647,4
Q27044174,4
Q11233438,4
Q110009802,4
Q1037755,4
Q3178478,4
Q12306381,4
Q131406,4
Q15725976,4
Q1295558,4
Q27030777,4
Q25343640,4
Q25476356,4
Q26936080,4
Q2935206,4
Q664017,4
Q3497179,4
Q422635,4
Q811531,4
Q838781,4
Q329777,4
Q60845736,4
Q375727,4
Q2047484,4
Q741867,4
Q979949,4
Q27150036,4
Q892757,4
Q63980799,4
Q781384,4
Q3771751,4
Q25535282,4
Q866210,4
Q49390,4
Q1475448,4
Q4112083,4
Q1392593,4
Q7292715,4
Q24659969,4
Q25367811,4
Q24183631,4
Q1076426,4
Q17355126,4
Q28795800,4
Q4382012,4
Q2296401,4
Q27653727,4
Q1642263,4
Q47466753,4
Q13587273,4
Q66975460,4
Q65205682,4
Q803599,4
Q85811481,4
Q11480750,4
Q109622962,4
Q68691239,4
Q54856428,4
Q853735,4
Q705157,4
Q1975745,4
Q2345820,4
Q75171163,4
Q3502977,4
Q6630631,4
Q5354600,4
Q56188227,4
Q1963679,4
Q655843,4
Q1412362,4
Q60794334,4
Q203290,4
Q101246147,4
Q1615460,4
Q5683226,4
Q1270515,4
Q1932471,4
Q105966326,4
Q55426935,3
Q42767,3
Q152074,3
Q4876601,3
Q4422352,3
Q12546,3
Q13538715,3
Q2039061,3
Q11163656,3
Q180253,3
Q7639752,3
Q693026,3
Q2691275,3
Q22337503,3
Q1230779,3
Q25476949,3
Q99936926,3
Q159377,3
Q1498464,3
Q1371470,3
Q2001775,3
Q55582088,3
Q829492,3
Q15144437,3
Q63088934,3
Q1198713,3
Q63088843,3
Q10405656,3
Q24179252,3
Q15825471,3
Q6664348,3
Q12089136,3
Q838364,3
Q3737914,3
Q1361661,3
Q5372544,3
Q61037469,3
Q74516302,3
Q105113660,3
Q1751831,3
Q7023411,3
Q2508813,3
Q3722602,3
Q109852002,3
Q17310301,3
Q3346925,3
Q162528,3
Q63088829,3
Q110205265,3
Q86935657,3
Q51645,3
Q7210349,3
Q373557,3
Q1427114,3
Q94590779,3
Q42685104,3
Q3359592,3
Q2235125,3
Q760037,3
Q79077079,3
Q172336,3
Q30588142,3
Q24292618,3
Q28038924,3
Q3827292,3
Q131359,3
Q1061047,3
Q97594670,3
Q11081100,3
Q98593889,3
Q1192114,3
Q2300237,3
Q356125,3
Q24039263,3
Q17157301,3
Q96203973,3
Q843610,3
Q2385043,3
Q11279175,3
Q22341298,3
Q4927953,3
Q109935409,3
Q107635454,3
Q476883,3
Q1428200,3
Q105580505,3
Q6452193,3
Q3586558,3
Q12311704,3
Q61221204,3
Q45333534,3
Q22947792,3
Q30579807,3
Q2822895,3
Q17052147,3
Q1187930,3
Q1423069,3
Q1935609,3
Q481394,3
Q100327107,3
Q1172928,3
Q1070938,3
Q21120741,3
Q240532,3
Q92208217,3
Q60743413,3
Q1518054,3
Q49637768,3
Q2916312,3
Q25544454,3
Q885506,3
Q500415,3
Q99654400,3
Q12131669,3
Q14904931,3
Q455444,3
Q29054308,3
Q539241,3
Q13102763,3
Q14907989,3
Q22341339,3
Q1937612,3
Q14912755,3
Q4936615,3
Q40745,3
Q283534,3
Q5422235,3
Q2715405,3
Q2889084,3
Q18698522,3
Q1325214,3
Q350871,3
Q61943417,3
Q1331684,3
Q311255,3
Q98543681,3
Q97154189,3
Q68103526,3
Q63165826,3
Q5657173,3
Q56325988,3
Q2217303,3
Q72846320,3
Q2640178,3
Q2269280,3
Q106215748,3
Q1443064,2
Q7162621,2
Q109935543,2
Q94464365,2
Q5282797,2
Q11589683,2
Q2996400,2
Q2731013,2
Q94461968,2
Q106561513,2
Q68833,2
Q493177,2
Q59009655,2
Q388924,2
Q677859,2
Q899079,2
Q14042845,2
Q199582,2
Q440311,2
Q2345910,2
Q63088967,2
Q94462023,2
Q109935648,2
Q4886918,2
Q975595,2
Q3586832,2
Q846996,2
Q57262267,2
Q1548025,2
Q65549814,2
Q830494,2
Q22669627,2
Q106006806,2
Q10859257,2
Q371008,2
Q21105895,2
Q24541623,2
Q94464422,2
Q17047513,2
Q93395449,2
Q5526351,2
Q94176089,2
Q759117,2
Q39087739,2
Q3505252,2
Q166019,2
Q1060062,2
Q91280428,2
Q10931495,2
Q108809873,2
Q832107,2
Q1183753,2
Q25377091,2
Q7489559,2
Q7335248,2
Q789344,2
Q2751242,2
Q426394,2
Q352796,2
Q6517480,2
Q1075020,2
Q1208212,2
Q26753894,2
Q5500839,2
Q1073579,2
Q3406090,2
Q7627882,2
Q814290,2
Q880637,2
Q1249076,2
Q1361457,2
Q77597785,2
Q1048584,2
Q80111632,2
Q26269133,2
Q22290330,2
Q25534427,2
Q1295912,2
Q30323964,2
Q216033,2
Q56514238,2
Q100332920,2
Q376596,2
Q328475,2
Q2508200,2
Q917186,2
Q913939,2
Q7539194,2
Q11394707,2
Q7450629,2
Q3586834,2
Q42832982,2
Q62730040,2
Q4354526,2
Q3235597,2
Q20018725,2
Q2267081,2
Q3997825,2
Q1371297,2
Q202018,2
Q93430598,2
Q15820347,2
Q15120872,2
Q94179811,2
Q6878284,2
Q3518511,2
Q6004963,2
Q4892460,2
Q108509955,2
Q210603,2
Q1154693,2
Q1411690,2
Q94620977,2
Q80623762,2
Q5179131,2
Q27242623,2
Q7242032,2
Q361863,2
Q2279967,2
Q3275749,2
Q5905214,2
